transaction_id,transaction_address_1,transaction_address_2,transaction_city,transaction_state,transaction_zip,normalized_transaction,canonical_id,canonical_address_1,canonical_address_2,canonical_city,canonical_state,canonical_zip,normalized_canonical,match_type,match_score,match_status
none-179-jackson-street-unit-3a-brooklyn-ny-11211,179 Jackson Street,Unit 3A,Brooklyn,NY,11211,179 Jackson Street Unit 3A Brooklyn NY 11211,42606,Jackson Street,,Brooklyn,NY,11211,Jackson Street Unit 4 Brooklyn NY 11211,fuzzy,0.8181818181818182,matched
none-181-jackson-street-unit-ph-brooklyn-ny-11211,181 Jackson Street,Unit PH,Brooklyn,NY,11211,181 Jackson Street Unit PH Brooklyn NY 11211,42606,Jackson Street,,Brooklyn,NY,11211,Jackson Street Unit 4 Brooklyn NY 11211,fuzzy,0.8181818181818182,matched
none-179-jackson-street-unit-5-brooklyn-ny-11211,179 Jackson Street,Unit 5,Brooklyn,NY,11211,179 Jackson Street Unit 5 Brooklyn NY 11211,42606,Jackson Street,,Brooklyn,NY,11211,Jackson Street Unit 4 Brooklyn NY 11211,fuzzy,0.8181818181818182,matched
none-179-jackson-street-unit-5a-brooklyn-ny-11211,179 Jackson Street,Unit 5A,Brooklyn,NY,11211,179 Jackson Street Unit 5A Brooklyn NY 11211,42606,Jackson Street,,Brooklyn,NY,11211,Jackson Street Unit 4 Brooklyn NY 11211,fuzzy,0.8181818181818182,matched
none-131-jackson-street-unit-phb-brooklyn-ny-11211,131 Jackson Street,Unit PHB,Brooklyn,NY,11211,131 Jackson Street Unit PHB Brooklyn NY 11211,42606,Jackson Street,,Brooklyn,NY,11211,Jackson Street Unit 4 Brooklyn NY 11211,fuzzy,0.8181818181818182,matched
none-bushwick-avenue-unit-8b-brooklyn-ny-11211,Bushwick Avenue,Unit 8B,Brooklyn,NY,11211,Bushwick Avenue Unit 8B Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.8095238095238095,matched
none-150-richardson-street-unit-2a-brooklyn-ny-11211,150 Richardson Street,Unit 2A,Brooklyn,NY,11211,150 Richardson Street Unit 2A Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.8095238095238095,matched
none-154-south-3rd-street-unit-24-brooklyn-ny-11211,154 South 3rd Street,Unit 24,Brooklyn,NY,11211,154 South 3rd Street Unit 24 Brooklyn NY 11211,42603,North 11th Street,,Brooklyn,NY,11211,North 11th Street Unit 4W Brooklyn NY 11211,fuzzy,0.8095238095238095,matched
none-240-powers-street-unit-6-brooklyn-ny-11211,240 Powers Street,Unit 6,Brooklyn,NY,11211,240 Powers Street Unit 6 Brooklyn NY 11211,42603,North 11th Street,,Brooklyn,NY,11211,North 11th Street Unit 4W Brooklyn NY 11211,fuzzy,0.8095238095238095,matched
none-240-powers-street-unit-6-brooklyn-ny-11211-0,240 Powers Street,Unit 6,Brooklyn,NY,11211,240 Powers Street Unit 6 Brooklyn NY 11211,42603,North 11th Street,,Brooklyn,NY,11211,North 11th Street Unit 4W Brooklyn NY 11211,fuzzy,0.8095238095238095,matched
none-176-south-4th-street-unit-4a-brooklyn-ny-11211,176 South 4th Street,Unit 4A,Brooklyn,NY,11211,176 South 4th Street Unit 4A Brooklyn NY 11211,42603,North 11th Street,,Brooklyn,NY,11211,North 11th Street Unit 4W Brooklyn NY 11211,fuzzy,0.8095238095238095,matched
none-bushwick-avenue-unit-5a-brooklyn-ny-11211,Bushwick Avenue,Unit 5A,Brooklyn,NY,11211,Bushwick Avenue Unit 5A Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.8095238095238095,matched
none-72-richardson-street-unit-19-brooklyn-ny-11211-0,72 Richardson Street,Unit 19,Brooklyn,NY,11211,72 Richardson Street Unit 19 Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.8095238095238095,matched
none-88-withers-street-unit-7d-brooklyn-ny-11211,88 Withers Street,Unit 7D,Brooklyn,NY,11211,88 Withers Street Unit 7D Brooklyn NY 11211,42603,North 11th Street,,Brooklyn,NY,11211,North 11th Street Unit 4W Brooklyn NY 11211,fuzzy,0.8095238095238095,matched
none-76-richardson-street-unit-7-brooklyn-ny-11211,76 Richardson Street,Unit 7,Brooklyn,NY,11211,76 Richardson Street Unit 7 Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.8095238095238095,matched
none-88-withers-street-unit-ph3-brooklyn-ny-11211,88 Withers Street,Unit PH3,Brooklyn,NY,11211,88 Withers Street Unit PH3 Brooklyn NY 11211,42603,North 11th Street,,Brooklyn,NY,11211,North 11th Street Unit 4W Brooklyn NY 11211,fuzzy,0.8095238095238095,matched
none-bushwick-avenue-unit-7b-brooklyn-ny-11211-0,Bushwick Avenue,Unit 7B,Brooklyn,NY,11211,Bushwick Avenue Unit 7B Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.8095238095238095,matched
none-bushwick-avenue-unit-6b-brooklyn-ny-11211,Bushwick Avenue,Unit 6B,Brooklyn,NY,11211,Bushwick Avenue Unit 6B Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.8095238095238095,matched
none-bushwick-avenue-unit-5b-brooklyn-ny-11211,Bushwick Avenue,Unit 5B,Brooklyn,NY,11211,Bushwick Avenue Unit 5B Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.8095238095238095,matched
none-bushwick-avenue-unit-7b-brooklyn-ny-11211,Bushwick Avenue,Unit 7B,Brooklyn,NY,11211,Bushwick Avenue Unit 7B Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.8095238095238095,matched
none-185-withers-street-unit-3-brooklyn-ny-11211,185 Withers Street,Unit 3,Brooklyn,NY,11211,185 Withers Street Unit 3 Brooklyn NY 11211,42603,North 11th Street,,Brooklyn,NY,11211,North 11th Street Unit 4W Brooklyn NY 11211,fuzzy,0.8095238095238095,matched
none-72-richardson-street-unit-19-brooklyn-ny-11211,72 Richardson Street,Unit 19,Brooklyn,NY,11211,72 Richardson Street Unit 19 Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.8095238095238095,matched
none-15-roebling-street-unit-4a-brooklyn-ny-11211,15 Roebling Street,Unit 4A,Brooklyn,NY,11211,15 Roebling Street Unit 4A Brooklyn NY 11211,42606,Jackson Street,,Brooklyn,NY,11211,Jackson Street Unit 4 Brooklyn NY 11211,fuzzy,0.8095238095238095,matched
none-30-bayard-street-unit-1a-brooklyn-ny-11211,30 Bayard Street,Unit 1A,Brooklyn,NY,11211,30 Bayard Street Unit 1A Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.8,matched
none-north-6th-street-unit-3-brooklyn-ny-11211,North 6th Street,Unit 3,Brooklyn,NY,11211,North 6th Street Unit 3 Brooklyn NY 11211,42603,North 11th Street,,Brooklyn,NY,11211,North 11th Street Unit 4W Brooklyn NY 11211,fuzzy,0.8,matched
none-skillman-avenue-unit-3b-brooklyn-ny-11211,Skillman Avenue,Unit 3B,Brooklyn,NY,11211,Skillman Avenue Unit 3B Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.8,matched
none-171-north-1st-street-unit-3a-brooklyn-ny-11211,171 North 1st Street,Unit 3A,Brooklyn,NY,11211,171 North 1st Street Unit 3A Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.8,matched
none-171-north-1st-street-unit-3c-brooklyn-ny-11211,171 North 1st Street,Unit 3C,Brooklyn,NY,11211,171 North 1st Street Unit 3C Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.8,matched
none-237-withers-street-none-brooklyn-ny-11211,237 Withers Street,,Brooklyn,NY,11211,237 Withers Street Brooklyn NY 11211,42603,North 11th Street,,Brooklyn,NY,11211,North 11th Street Unit 4W Brooklyn NY 11211,fuzzy,0.8,matched
none-north-8th-street-unit-ph-brooklyn-ny-11211-0,North 8th Street,Unit PH,Brooklyn,NY,11211,North 8th Street Unit PH Brooklyn NY 11211,42603,North 11th Street,,Brooklyn,NY,11211,North 11th Street Unit 4W Brooklyn NY 11211,fuzzy,0.8,matched
none-201-north-11th-street-unit-ph-brooklyn-ny-11211,201 North 11th Street,Unit PH,Brooklyn,NY,11211,201 North 11th Street Unit PH Brooklyn NY 11211,42603,North 11th Street,,Brooklyn,NY,11211,North 11th Street Unit 4W Brooklyn NY 11211,fuzzy,0.8,matched
none-skillman-avenue-unit-3-brooklyn-ny-11211-0,Skillman Avenue,Unit 3,Brooklyn,NY,11211,Skillman Avenue Unit 3 Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.8,matched
none-170-south-4th-street-none-brooklyn-ny-11211,170 South 4th Street,,Brooklyn,NY,11211,170 South 4th Street Brooklyn NY 11211,42603,North 11th Street,,Brooklyn,NY,11211,North 11th Street Unit 4W Brooklyn NY 11211,fuzzy,0.8,matched
none-north-8th-street-unit-ph-brooklyn-ny-11211,North 8th Street,Unit PH,Brooklyn,NY,11211,North 8th Street Unit PH Brooklyn NY 11211,42603,North 11th Street,,Brooklyn,NY,11211,North 11th Street Unit 4W Brooklyn NY 11211,fuzzy,0.8,matched
none-north-10th-street-unit-3a-brooklyn-ny-11211,North 10th Street,Unit 3A,Brooklyn,NY,11211,North 10th Street Unit 3A Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.8,matched
none-190-south-1st-street-unit-2b-brooklyn-ny-11211,190 South 1st Street,Unit 2B,Brooklyn,NY,11211,190 South 1st Street Unit 2B Brooklyn NY 11211,42603,North 11th Street,,Brooklyn,NY,11211,North 11th Street Unit 4W Brooklyn NY 11211,fuzzy,0.8,matched
none-171-north-1st-street-unit-5b-brooklyn-ny-11211,171 North 1st Street,Unit 5B,Brooklyn,NY,11211,171 North 1st Street Unit 5B Brooklyn NY 11211,42603,North 11th Street,,Brooklyn,NY,11211,North 11th Street Unit 4W Brooklyn NY 11211,fuzzy,0.8,matched
none-150-north-5th-street-unit-1h-brooklyn-ny-11211-0,150 North 5th Street,Unit 1H,Brooklyn,NY,11211,150 North 5th Street Unit 1H Brooklyn NY 11211,42603,North 11th Street,,Brooklyn,NY,11211,North 11th Street Unit 4W Brooklyn NY 11211,fuzzy,0.8,matched
none-171-north-1st-street-unit-3k-brooklyn-ny-11211,171 North 1st Street,Unit 3K,Brooklyn,NY,11211,171 North 1st Street Unit 3K Brooklyn NY 11211,42603,North 11th Street,,Brooklyn,NY,11211,North 11th Street Unit 4W Brooklyn NY 11211,fuzzy,0.8,matched
none-323-south-5th-street-unit-2-brooklyn-ny-11211,323 South 5th Street,Unit 2,Brooklyn,NY,11211,323 South 5th Street Unit 2 Brooklyn NY 11211,42603,North 11th Street,,Brooklyn,NY,11211,North 11th Street Unit 4W Brooklyn NY 11211,fuzzy,0.8,matched
none-323-south-5th-street-unit-1-brooklyn-ny-11211,323 South 5th Street,Unit 1,Brooklyn,NY,11211,323 South 5th Street Unit 1 Brooklyn NY 11211,42603,North 11th Street,,Brooklyn,NY,11211,North 11th Street Unit 4W Brooklyn NY 11211,fuzzy,0.8,matched
none-skillman-avenue-unit-3-brooklyn-ny-11211,Skillman Avenue,Unit 3,Brooklyn,NY,11211,Skillman Avenue Unit 3 Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.8,matched
none-division-avenue-unit-16-brooklyn-ny-11211,Division Avenue,Unit 16,Brooklyn,NY,11211,Division Avenue Unit 16 Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.8,matched
none-bayard-street-unit-3g-brooklyn-ny-11211,Bayard Street,Unit 3G,Brooklyn,NY,11211,Bayard Street Unit 3G Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.8,matched
none-108-withers-street-none-brooklyn-ny-11211,108 Withers Street,,Brooklyn,NY,11211,108 Withers Street Brooklyn NY 11211,42603,North 11th Street,,Brooklyn,NY,11211,North 11th Street Unit 4W Brooklyn NY 11211,fuzzy,0.8,matched
none-south-5th-street-unit-3-brooklyn-ny-11211,South 5th Street,Unit 3,Brooklyn,NY,11211,South 5th Street Unit 3 Brooklyn NY 11211,42603,North 11th Street,,Brooklyn,NY,11211,North 11th Street Unit 4W Brooklyn NY 11211,fuzzy,0.8,matched
none-division-avenue-unit-16-brooklyn-ny-11211-0,Division Avenue,Unit 16,Brooklyn,NY,11211,Division Avenue Unit 16 Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.8,matched
none-bayard-street-unit-3g-brooklyn-ny-11211-0,Bayard Street,Unit 3G,Brooklyn,NY,11211,Bayard Street Unit 3G Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.8,matched
none-145-conselyea-street-none-brooklyn-ny-11211,145 Conselyea Street,,Brooklyn,NY,11211,145 Conselyea Street Brooklyn NY 11211,42606,Jackson Street,,Brooklyn,NY,11211,Jackson Street Unit 4 Brooklyn NY 11211,fuzzy,0.8,matched
none-212-north-9th-street-unit-3c-brooklyn-ny-11211,212 North 9th Street,Unit 3C,Brooklyn,NY,11211,212 North 9th Street Unit 3C Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.8,matched
none-150-north-5th-street-unit-1h-brooklyn-ny-11211,150 North 5th Street,Unit 1H,Brooklyn,NY,11211,150 North 5th Street Unit 1H Brooklyn NY 11211,42603,North 11th Street,,Brooklyn,NY,11211,North 11th Street Unit 4W Brooklyn NY 11211,fuzzy,0.8,matched
none-108-withers-street-none-brooklyn-ny-11211-0,108 Withers Street,,Brooklyn,NY,11211,108 Withers Street Brooklyn NY 11211,42603,North 11th Street,,Brooklyn,NY,11211,North 11th Street Unit 4W Brooklyn NY 11211,fuzzy,0.8,matched
none-north-7th-street-unit-phb-brooklyn-ny-11211,North 7th Street,Unit PHB,Brooklyn,NY,11211,North 7th Street Unit PHB Brooklyn NY 11211,42603,North 11th Street,,Brooklyn,NY,11211,North 11th Street Unit 4W Brooklyn NY 11211,fuzzy,0.8,matched
none-170-south-1st-street-unit-2b-brooklyn-ny-11211-0,170 South 1st Street,Unit 2B,Brooklyn,NY,11211,170 South 1st Street Unit 2B Brooklyn NY 11211,42603,North 11th Street,,Brooklyn,NY,11211,North 11th Street Unit 4W Brooklyn NY 11211,fuzzy,0.8,matched
none-323-south-5th-street-unit-3-brooklyn-ny-11211,323 South 5th Street,Unit 3,Brooklyn,NY,11211,323 South 5th Street Unit 3 Brooklyn NY 11211,42603,North 11th Street,,Brooklyn,NY,11211,North 11th Street Unit 4W Brooklyn NY 11211,fuzzy,0.8,matched
none-170-south-1st-street-unit-2b-brooklyn-ny-11211,170 South 1st Street,Unit 2B,Brooklyn,NY,11211,170 South 1st Street Unit 2B Brooklyn NY 11211,42603,North 11th Street,,Brooklyn,NY,11211,North 11th Street Unit 4W Brooklyn NY 11211,fuzzy,0.8,matched
none-18-orient-avenue-none-brooklyn-ny-11211,18 Orient Avenue,,Brooklyn,NY,11211,18 Orient Avenue Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.7894736842105263,matched
none-70-conselyea-street-none-brooklyn-ny-11211,70 Conselyea Street,,Brooklyn,NY,11211,70 Conselyea Street Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.7894736842105263,matched
none-18-orient-avenue-none-brooklyn-ny-11211-0,18 Orient Avenue,,Brooklyn,NY,11211,18 Orient Avenue Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.7894736842105263,matched
none-devoe-street-unit-2r-brooklyn-ny-11211,Devoe Street,Unit 2R,Brooklyn,NY,11211,Devoe Street Unit 2R Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.7894736842105263,matched
none-devoe-street-unit-2r-brooklyn-ny-11211-0,Devoe Street,Unit 2R,Brooklyn,NY,11211,Devoe Street Unit 2R Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.7894736842105263,matched
none-237-ainslie-street-none-brooklyn-ny-11211,237 Ainslie Street,,Brooklyn,NY,11211,237 Ainslie Street Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.7894736842105263,matched
none-union-avenue-none-brooklyn-ny-11211,Union Avenue,,Brooklyn,NY,11211,Union Avenue Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.7777777777777778,matched
none-maspeth-avenue-unit-7c-brooklyn-ny-11211,Maspeth Avenue,Unit 7C,Brooklyn,NY,11211,Maspeth Avenue Unit 7C Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.7727272727272727,matched
none-30-bushwick-avenue-unit-1a-brooklyn-ny-11211,30 Bushwick Avenue,Unit 1A,Brooklyn,NY,11211,30 Bushwick Avenue Unit 1A Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.7727272727272727,matched
none-147-hope-street-unit-3a-brooklyn-ny-11211,147 Hope Street,Unit 3A,Brooklyn,NY,11211,147 Hope Street Unit 3A Brooklyn NY 11211,42603,North 11th Street,,Brooklyn,NY,11211,North 11th Street Unit 4W Brooklyn NY 11211,fuzzy,0.7727272727272727,matched
none-skillman-avenue-unit-4f-brooklyn-ny-11211,Skillman Avenue,Unit 4F,Brooklyn,NY,11211,Skillman Avenue Unit 4F Brooklyn NY 11211,42606,Jackson Street,,Brooklyn,NY,11211,Jackson Street Unit 4 Brooklyn NY 11211,fuzzy,0.7727272727272727,matched
none-96-woodpoint-road-unit-2c-brooklyn-ny-11211,96 Woodpoint Road,Unit 2C,Brooklyn,NY,11211,96 Woodpoint Road Unit 2C Brooklyn NY 11211,42604,128 Woodpoint Road,,Brooklyn,NY,11211,128 Woodpoint Road Unit 5 Brooklyn NY 11211,fuzzy,0.7727272727272727,matched
none-179-woodpoint-road-unit-2c-brooklyn-ny-11211,179 Woodpoint Road,Unit 2C,Brooklyn,NY,11211,179 Woodpoint Road Unit 2C Brooklyn NY 11211,42604,128 Woodpoint Road,,Brooklyn,NY,11211,128 Woodpoint Road Unit 5 Brooklyn NY 11211,fuzzy,0.7727272727272727,matched
none-30-bushwick-avenue-unit-2a-brooklyn-ny-11211,30 Bushwick Avenue,Unit 2A,Brooklyn,NY,11211,30 Bushwick Avenue Unit 2A Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.7727272727272727,matched
none-96-woodpoint-road-unit-3a-brooklyn-ny-11211,96 Woodpoint Road,Unit 3A,Brooklyn,NY,11211,96 Woodpoint Road Unit 3A Brooklyn NY 11211,42604,128 Woodpoint Road,,Brooklyn,NY,11211,128 Woodpoint Road Unit 5 Brooklyn NY 11211,fuzzy,0.7727272727272727,matched
none-30-bushwick-avenue-unit-3b-brooklyn-ny-11211,30 Bushwick Avenue,Unit 3B,Brooklyn,NY,11211,30 Bushwick Avenue Unit 3B Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.7727272727272727,matched
none-skillman-avenue-unit-4f-brooklyn-ny-11211-0,Skillman Avenue,Unit 4F,Brooklyn,NY,11211,Skillman Avenue Unit 4F Brooklyn NY 11211,42606,Jackson Street,,Brooklyn,NY,11211,Jackson Street Unit 4 Brooklyn NY 11211,fuzzy,0.7727272727272727,matched
none-96-woodpoint-road-unit-2c-brooklyn-ny-11211-0,96 Woodpoint Road,Unit 2C,Brooklyn,NY,11211,96 Woodpoint Road Unit 2C Brooklyn NY 11211,42604,128 Woodpoint Road,,Brooklyn,NY,11211,128 Woodpoint Road Unit 5 Brooklyn NY 11211,fuzzy,0.7727272727272727,matched
none-38-skillman-avenue-unit-1-brooklyn-ny-11211,38 Skillman Avenue,Unit 1,Brooklyn,NY,11211,38 Skillman Avenue Unit 1 Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.7619047619047619,matched
none-239-jackson-street-none-brooklyn-ny-11211,239 Jackson Street,,Brooklyn,NY,11211,239 Jackson Street Brooklyn NY 11211,42606,Jackson Street,,Brooklyn,NY,11211,Jackson Street Unit 4 Brooklyn NY 11211,fuzzy,0.7619047619047619,matched
none-50-bayard-street-unit-3n-brooklyn-ny-11211,50 Bayard Street,Unit 3N,Brooklyn,NY,11211,50 Bayard Street Unit 3N Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.7619047619047619,matched
none-38-skillman-avenue-unit-1-brooklyn-ny-11211-0,38 Skillman Avenue,Unit 1,Brooklyn,NY,11211,38 Skillman Avenue Unit 1 Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.7619047619047619,matched
none-446-humboldt-street-none-brooklyn-ny-11211,446 Humboldt Street,,Brooklyn,NY,11211,446 Humboldt Street Brooklyn NY 11211,42603,North 11th Street,,Brooklyn,NY,11211,North 11th Street Unit 4W Brooklyn NY 11211,fuzzy,0.7619047619047619,matched
none-171-north-1st-street-unit-6d-brooklyn-ny-11211,171 North 1st Street,Unit 6D,Brooklyn,NY,11211,171 North 1st Street Unit 6D Brooklyn NY 11211,42603,North 11th Street,,Brooklyn,NY,11211,North 11th Street Unit 4W Brooklyn NY 11211,fuzzy,0.7619047619047619,matched
none-170-north-11th-street-unit-3a-brooklyn-ny-11211,170 North 11th Street,Unit 3A,Brooklyn,NY,11211,170 North 11th Street Unit 3A Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.7619047619047619,matched
none-76-roebling-street-unit-4b-brooklyn-ny-11211,76 Roebling Street,Unit 4B,Brooklyn,NY,11211,76 Roebling Street Unit 4B Brooklyn NY 11211,42603,North 11th Street,,Brooklyn,NY,11211,North 11th Street Unit 4W Brooklyn NY 11211,fuzzy,0.7619047619047619,matched
none-139-skillman-avenue-unit-9b-brooklyn-ny-11211,139 Skillman Avenue,Unit 9B,Brooklyn,NY,11211,139 Skillman Avenue Unit 9B Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.7619047619047619,matched
none-139-skillman-avenue-unit-9ab-brooklyn-ny-11211,139 Skillman Avenue,Unit 9AB,Brooklyn,NY,11211,139 Skillman Avenue Unit 9AB Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.7619047619047619,matched
none-108-division-avenue-unit-12a-brooklyn-ny-11211,108 Division Avenue,Unit 12A,Brooklyn,NY,11211,108 Division Avenue Unit 12A Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.7619047619047619,matched
none-446-humboldt-street-none-brooklyn-ny-11211-0,446 Humboldt Street,,Brooklyn,NY,11211,446 Humboldt Street Brooklyn NY 11211,42603,North 11th Street,,Brooklyn,NY,11211,North 11th Street Unit 4W Brooklyn NY 11211,fuzzy,0.7619047619047619,matched
none-1-powers-street-unit-602-brooklyn-ny-11211-0,1 Powers Street,Unit 602,Brooklyn,NY,11211,1 Powers Street Unit 602 Brooklyn NY 11211,42603,North 11th Street,,Brooklyn,NY,11211,North 11th Street Unit 4W Brooklyn NY 11211,fuzzy,0.7619047619047619,matched
none-havemeyer-street-unit-6a-brooklyn-ny-11211,Havemeyer Street,Unit 6A,Brooklyn,NY,11211,Havemeyer Street Unit 6A Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.7619047619047619,matched
none-50-bayard-street-unit-2g-brooklyn-ny-11211,50 Bayard Street,Unit 2G,Brooklyn,NY,11211,50 Bayard Street Unit 2G Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.7619047619047619,matched
none-305-union-avenue-unit-5c-brooklyn-ny-11211,305 Union Avenue,Unit 5C,Brooklyn,NY,11211,305 Union Avenue Unit 5C Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.7619047619047619,matched
none-manhattan-avenue-unit-4r-brooklyn-ny-11211,Manhattan Avenue,Unit 4R,Brooklyn,NY,11211,Manhattan Avenue Unit 4R Brooklyn NY 11211,42603,North 11th Street,,Brooklyn,NY,11211,North 11th Street Unit 4W Brooklyn NY 11211,fuzzy,0.7619047619047619,matched
none-1-powers-street-unit-602-brooklyn-ny-11211,1 Powers Street,Unit 602,Brooklyn,NY,11211,1 Powers Street Unit 602 Brooklyn NY 11211,42603,North 11th Street,,Brooklyn,NY,11211,North 11th Street Unit 4W Brooklyn NY 11211,fuzzy,0.7619047619047619,matched
none-havemeyer-street-unit-6a-brooklyn-ny-11211-0,Havemeyer Street,Unit 6A,Brooklyn,NY,11211,Havemeyer Street Unit 6A Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.7619047619047619,matched
none-215-north-10th-street-unit-pha-brooklyn-ny-11211,215 North 10th Street,Unit PHA,Brooklyn,NY,11211,215 North 10th Street Unit PHA Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.7619047619047619,matched
